AutoMirrored.Filled.ArrowBack	ArrowBack
AutoMirrored.Filled.ArrowForward	ArrowForward
AutoMirrored.Filled.ArrowForwardIos	ArrowForwardIos
AutoMirrored.Filled.KeyboardArrowRight	KeyboardArrowRight
AutoMirrored.Filled.Label	Label
AutoMirrored.Filled.MenuBook	MenuBook
AutoMirrored.Filled.NavigateBefore	NavigateBefore
AutoMirrored.Filled.NavigateNext	NavigateNext
AutoMirrored.Filled.OpenInNew	OpenInNew
Default.AccountCircle	AccountCircle
Default.Add	Add
Default.ArrowDownward	ArrowDownward
Default.ArrowDropDown	ArrowDropDown
Default.ArrowUpward	ArrowUpward
Default.AutoStories	AutoStories
Default.Backup	Backup
Default.BarChart	BarChart
Default.Block	Block
Default.Book	Book
Default.Bookmark	Bookmark
Default.BookmarkBorder	BookmarkBorder
Default.BugReport	BugReport
Default.Celebration	Celebration
Default.Check	Check
Default.CheckCircle	CheckCircle
Default.Clear	Clear
Default.Close	Close
Default.CloudDownload	CloudDownload
Default.CloudUpload	CloudUpload
Default.ColorLens	ColorLens
Default.ContentCopy	ContentCopy
Default.Delete	Delete
Default.DeleteSweep	DeleteSweep
Default.DoneAll	DoneAll
Default.Download	Download
Default.DownloadDone	DownloadDone
Default.DragHandle	DragHandle
Default.Edit	Edit
Default.ErrorOutline	ErrorOutline
Default.ExpandLess	ExpandLess
Default.ExpandMore	ExpandMore
Default.Explore	Explore
Default.Extension	Extension
Default.FilterList	FilterList
Default.HelpOutline	HelpOutline
Default.HourglassEmpty	HourglassEmpty
Default.Hub	Hub
Default.Image	Image
Default.Inbox	Inbox
Default.Info	Info
Default.Inventory2	Inventory2
Default.KeyboardArrowDown	KeyboardArrowDown
Default.KeyboardArrowUp	KeyboardArrowUp
Default.KeyboardDoubleArrowUp	KeyboardDoubleArrowUp
Default.Language	Language
Default.LibraryAdd	LibraryAdd
Default.Link	Link
Default.LocalLibrary	LocalLibrary
Default.Lock	Lock
Default.LockOpen	LockOpen
Default.MenuBook	MenuBook
Default.MoreHoriz	MoreHoriz
Default.MoreVert	MoreVert
Default.NewReleases	NewReleases
Default.Notifications	Notifications
Default.NotificationsNone	NotificationsNone
Default.OpenInBrowser	OpenInBrowser
Default.OpenInNew	OpenInNew
Default.Pause	Pause
Default.PauseCircle	PauseCircle
Default.PendingActions	PendingActions
Default.PlayArrow	PlayArrow
Default.PushPin	PushPin
Default.RecordVoiceOver	RecordVoiceOver
Default.Refresh	Refresh
Default.Remove	Remove
Default.RemoveDone	RemoveDone
Default.Restore	Restore
Default.Schedule	Schedule
Default.Search	Search
Default.SelectAll	SelectAll
Default.Settings	Settings
Default.Share	Share
Default.Shield	Shield
Default.Star	Star
Default.Stop	Stop
Default.Storage	Storage
Default.SwapVert	SwapVert
Default.Sync	Sync
Default.SystemUpdateAlt	SystemUpdateAlt
Default.TouchApp	TouchApp
Default.Translate	Translate
Default.TrendingUp	TrendingUp
Default.Tune	Tune
Default.VerticalAlignBottom	VerticalAlignBottom
Default.VerticalAlignTop	VerticalAlignTop
Default.Vibration	Vibration
Default.Visibility	Visibility
Default.VisibilityOff	VisibilityOff
Default.WarningAmber	WarningAmber
Filled.Add	Add
Filled.AutoAwesome	AutoAwesome
Filled.BugReport	BugReport
Filled.Check	Check
Filled.CheckCircle	CheckCircle
Filled.Description	Description
Filled.Extension	Extension
Filled.Inventory2	Inventory2
Filled.KeyboardArrowDown	KeyboardArrowDown
Filled.KeyboardArrowUp	KeyboardArrowUp
Filled.List	List
Filled.PlayArrow	PlayArrow
Filled.PushPin	PushPin
Filled.Remove	Remove
Filled.Stop	Stop
Filled.SystemUpdateAlt	SystemUpdateAlt
Filled.Tune	Tune
Outlined.CheckCircle	CheckCircleOutlined
Outlined.Edit	EditOutlined
Outlined.HideImage	HideImage
Outlined.Image	ImageOutlined
Outlined.Inventory2	Inventory2
